STID,time,gauge_precipitation_matched,nlat,elon,Height,Reflectivity,Zdr,Kdp,Rhohv,PrecipRateZ
ADAX,2023-07-09 01:00:00,0.0,34.799552914163215,-96.66796888155012,1097.9401923055857,9.0,6.066761363636363,-0.1649339199066162,0.9442424015565352,0.0257615977486053
ADAX,2023-07-09 01:05:00,0.0,34.799946643984754,-96.66745171520296,1097.9401923055857,9.0,6.276988636363637,-0.002573013305664,0.9328787679022008,0.0253952567112551
ADAX,2023-07-09 01:25:00,0.0,34.79983919987774,-96.66759274603412,1097.9401923055857,7.0,5.5578125,0.0144534111022949,0.941666641831398,0.0218459075244826
ADAX,2023-07-09 01:30:00,0.0,34.79967222886562,-96.66781218062664,1097.9401923055857,7.0,4.899305555555555,0.0144540468851725,0.9294444223244984,0.0230842250090174
ADAX,2023-07-09 01:35:00,0.0,34.799815371722886,-96.6676240862188,1097.9401923055857,7.0,4.955078125,0.0144547621409098,0.9262499734759332,0.0219221496819997
ADAX,2023-07-09 01:40:00,,34.799708014579934,-96.66776506375032,,,,,,
ADAX,2023-07-09 01:45:00,,34.79952904252633,-96.6680002217348,,,,,,
ADAX,2023-07-09 01:50:00,,34.79973186447581,-96.66773372356562,,,,,,
ADAX,2023-07-09 01:55:00,,34.79964840071077,-96.66784341421206,,,,,,
ADAX,2023-07-09 02:00:00,0.0,34.799803544609524,-96.66763988956023,1097.9401923055857,7.0,3.4263392857142856,0.0127683480580647,0.9176190154893058,0.0220100036948402
ADAX,2023-07-09 02:05:00,,34.799815371722886,-96.6676240862188,,,,,,
ADAX,2023-07-09 02:10:00,,34.79985113569618,-96.66757707594176,,,,,,
ADAX,2023-07-09 02:15:00,,34.79950521437148,-96.66803161521916,,,,,,
ADAX,2023-07-09 02:20:00,,34.79985111395516,-96.66757707594176,,,,,,
ADAX,2023-07-09 02:25:00,,34.79988689966948,-96.66753011896436,,,,,,
ADAX,2023-07-09 02:30:00,,34.79968414294305,-96.6677965371841,,,,,,
ADAX,2023-07-09 02:35:00,,34.799815371722886,-96.6676240862188,,,,,,
ADAX,2023-07-09 02:40:00,,34.79960063569598,-96.6679061478811,,,,,,
ADAX,2023-07-09 02:45:00,,34.79993459946122,-96.66746743859495,,,,,,
ADAX,2023-07-09 02:50:00,,34.79988689966948,-96.66753011896436,,,,,,
ADAX,2023-07-09 02:55:00,,34.799505236112495,-96.66803158856932,,,,,,
ADAX,2023-07-09 03:05:00,,34.799552914163215,-96.66796888155012,,,,,,
ADAX,2023-07-09 03:10:00,,34.79952904252633,-96.6680002217348,,,,,,
ADAX,2023-07-09 03:15:00,,34.799576742318074,-96.66793754136542,,,,,,
ADAX,2023-07-09 03:25:00,,34.799576742318074,-96.66793754136542,,,,,,
ADAX,2023-07-09 03:30:00,,34.799552914163215,-96.66796888155012,,,,,,
ADAX,2023-07-09 03:40:00,,34.799552914163215,-96.66796888155012,,,,,,
ADAX,2023-07-09 03:45:00,,34.799552914163215,-96.66796888155012,,,,,,
ADAX,2023-07-09 03:50:00,,34.79948138621662,-96.66806295540384,,,,,,
ADAX,2023-07-09 04:00:00,,34.79950521437148,-96.66803161521916,,,,,,
ADAX,2023-07-09 04:05:00,,34.799552914163215,-96.66796888155012,,,,,,
ADAX,2023-07-09 04:15:00,,34.79960070091903,-96.66790609458144,,,,,,
ADAX,2023-07-09 04:20:00,,34.79950521437148,-96.66803161521916,,,,,,
ADAX,2023-07-09 04:25:00,,34.799576742318074,-96.66793754136542,,,,,,
ADAX,2023-07-09 04:35:00,,34.799552914163215,-96.66796888155012,,,,,,
ADAX,2023-07-09 04:40:00,,34.799552914163215,-96.66796888155012,,,,,,
ADAX,2023-07-09 04:45:00,,34.799576742318074,-96.66793754136542,,,,,,
ADAX,2023-07-09 04:55:00,,34.79950521437148,-96.66803161521916,,,,,,
ADAX,2023-07-09 05:00:00,,34.799672228865624,-96.66781207402737,,,,,,
ADAX,2023-07-09 05:05:00,,34.79967222886562,-96.66781218062664,,,,,,
ADAX,2023-07-09 05:10:00,,34.79988689966948,-96.66753011896436,,,,,,
ADAX,2023-07-09 05:15:00,,34.79995847109811,-96.6674361517099,,,,,,
ADAX,2023-07-09 05:20:00,,34.79950521437148,-96.66803158856932,,,,,,
ADAX,2023-07-09 05:25:00,,34.799791500085995,-96.66765537310388,,,,,,
ADAX,2023-07-09 05:30:00,,34.799612614996455,-96.66789039783929,,,,,,
ADAX,2023-07-09 05:35:00,,34.80000634481799,-96.66737336474124,,,,,,
ADAX,2023-07-09 05:40:00,,34.79975577959473,-96.6677024899802,,,,,,
ADAX,2023-07-09 05:45:00,,34.7997676284491,-96.66768671328856,,,,,,
ADAX,2023-07-09 05:50:00,,34.79977956426755,-96.66767109649588,,,,,,
ADAX,2023-07-09 05:55:00,,34.79952904252633,-96.6680002217348,,,,,,
ADAX,2023-07-09 06:00:00,,34.79999434377649,-96.6673890881332,,,,,,
ADAX,2023-07-09 06:05:00,,34.79950521437148,-96.66803161521916,,,,,,
ADAX,2023-07-09 06:10:00,,34.799791500085995,-96.66765537310388,,,,,,
ADAX,2023-07-09 06:15:00,,34.80000634481799,-96.6673733380914,,,,,,
ADAX,2023-07-09 06:20:00,,34.80000634481799,-96.66737336474124,,,,,,
ADAX,2023-07-09 06:25:00,,34.79974380029425,-96.66771808012308,,,,,,
ADAX,2023-07-09 06:30:00,,34.79971992865737,-96.66774939365796,,,,,,
ADAX,2023-07-09 06:35:00,,34.79971992865737,-96.66774939365796,,,,,,
ADAX,2023-07-09 06:40:00,,34.79967225060664,-96.66781207402737,,,,,,
ADAX,2023-07-09 06:45:00,,34.799576742318074,-96.66793754136542,,,,,,
ADAX,2023-07-09 06:50:00,,34.79950521437148,-96.66803161521916,,,,,,
ADAX,2023-07-09 06:55:00,,34.799982473181096,-96.6674046516263,,,,,,
ADAX,2023-07-09 07:00:00,,34.79974380029425,-96.66771805347328,,,,,,
ADAX,2023-07-09 07:05:00,,34.80012570300243,-96.667216770417,,,,,,
ADAX,2023-07-09 07:10:00,,34.80000634481799,-96.66737336474124,,,,,,
ADAX,2023-07-09 07:15:00,,34.79980343590444,-96.66763975631116,,,,,,
ADAX,2023-07-09 07:20:00,,34.79962452907388,-96.66787470109712,,,,,,
ADAX,2023-07-09 07:25:00,,34.79950521437148,-96.66803161521916,,,,,,
ADAX,2023-07-09 07:30:00,,34.80003021645488,-96.66734202455652,,,,,,
ADAX,2023-07-09 07:35:00,,34.79950521437148,-96.66803161521916,,,,,,
ADAX,2023-07-09 07:40:00,,34.799791500085995,-96.66765537310388,,,,,,
ADAX,2023-07-09 07:45:00,,34.79952904252633,-96.6680002217348,,,,,,
ADAX,2023-07-09 07:50:00,,34.79974380029425,-96.66771805347328,,,,,,
ADAX,2023-07-09 07:55:00,,34.79995847109811,-96.6674361517099,,,,,,
ADAX,2023-07-09 08:00:00,,34.799672228865624,-96.66781207402737,,,,,,
ADAX,2023-07-09 08:05:00,,34.799791500085995,-96.66765537310388,,,,,,
ADAX,2023-07-09 08:10:00,,34.799791500085995,-96.66765537310388,,,,,,
ADAX,2023-07-09 08:15:00,,34.799827285800305,-96.66760841612646,,,,,,
ADAX,2023-07-09 08:20:00,0.0,34.79964840071077,-96.66784341421206,1097.9401923055857,41.9736237906962,5.471875,-0.1078964869181315,0.9128333181142808,3.79108130900251
ADAX,2023-07-09 08:25:00,4.32,34.80003021645488,-96.66734202455652,1097.9401923055857,41.81128176144816,5.8546875,-0.0529171625773111,0.9429999828338624,5.231483790766946
ADAX,2023-07-09 08:30:00,4.57,34.79974380029425,-96.66771805347328,1097.9401923055857,41.02234014453079,5.333806818181818,-0.0099113782246907,0.9472727125341242,4.7793427742586205
ADAX,2023-07-09 08:35:00,4.57,34.799910771306365,-96.66749877877966,1097.9401923055857,41.02234014453079,4.015625,0.0210588773091634,0.9416666545651176,4.777297608794409
ADAX,2023-07-09 08:40:00,4.57,34.79995847109811,-96.6674361517099,1097.9401923055857,41.02234014453079,4.0,0.0310293833414713,0.9545454409989444,4.778166989452349
ADAX,2023-07-09 08:45:00,4.57,34.79969610050251,-96.66778073384266,1097.9401923055857,40.35359707578778,3.7408854166666665,0.0299881299336751,0.9563888758420944,4.388668562261772
ADAX,2023-07-09 08:50:00,4.57,34.79974380029425,-96.66771805347328,1097.9401923055857,39.77393306064823,3.6861979166666665,0.0254149436950683,0.9511111006140708,4.391195681368219
